bo  0.9825  461 187 609 392
y  0.9941  1315 87 1333 108
y  0.9895  1226 113 1253 140
y  0.9888  367 88 385 107
y  0.9856  1241 101 1261 125
y  0.9820  1253 70 1265 86
y  0.9779  1272 152 1326 223
y  0.9741  1775 391 1953 554
y  0.9527  1262 83 1278 104
y  0.9065  1369 130 1406 163
y  0.8928  508 79 523 97
y  0.8690  180 90 201 116
y  0.8232  1302 73 1316 92
y  0.7926  1167 65 1177 77
y  0.7870  1193 127 1222 158
b  0.9204  669 72 680 88
b  0.9990  730 158 786 232
b  0.9987  1055 81 1071 104
b  0.9987  910 103 935 130
b  0.9981  410 87 431 109
b  0.9968  126 383 320 549
b  0.9886  986 71 998 91
b  0.9844  931 78 947 102
b  0.9805  1100 73 1112 90
b  0.9160  1066 67 1077 83
b  0.8601  833 119 868 160
b  0.7279  582 76 594 92
b  0.6746  934 65 944 80
b  0.6080  985 87 1004 113
b  0.3530  737 66 747 80
